book_id,openlibrary_work_key,title,author,description,tags,primary_source_tag,publication_year,page_count,rating_count,average_rating,cover_url,edition_count,language,source
fixture-014,/works/OL157019W,The Girl with the Dragon Tattoo,Stieg Larsson,A journalist and a hacker investigate a decades old disappearance involving a wealthy family.,thriller|mystery|crime|hacker|nordic noir,thriller,2005,465,10500,4.1,,80,eng,offline_fixture
fixture-015,/works/OL57591W,Gone Girl,Gillian Flynn,A missing woman case becomes a dark psychological puzzle about marriage media and manipulation.,thriller|mystery|psychological thriller|crime|suspense,thriller,2012,422,15000,4.0,,60,eng,offline_fixture
fixture-016,/works/OL264718W,The Shining,Stephen King,A family becomes isolated in a haunted hotel as addiction violence and supernatural forces intensify.,horror|thriller|supernatural|haunted house|psychological horror,horror,1977,447,11500,4.2,,90,eng,offline_fixture
fixture-017,/works/OL81613W,Dracula,Bram Stoker,A gothic vampire novel told through letters diaries and documents about fear invasion and desire.,horror|classic|gothic fiction|vampires|epistolary,horror,1897,418,12000,4.0,,180,eng,offline_fixture
fixture-018,/works/OL36286W,Frankenstein,Mary Shelley,A scientist creates life and faces the moral consequences of ambition rejection and responsibility.,horror|classic|science fiction|gothic fiction|ethics,horror,1818,280,14500,4.0,,190,eng,offline_fixture
fixture-019,/works/OL153313W,The Book Thief,Markus Zusak,A young girl in Nazi Germany finds comfort in books while war and danger close around her.,historical fiction|young adult|world war ii|literary fiction|books,historical fiction,2005,552,13000,4.4,,80,eng,offline_fixture
fixture-020,/works/OL581708W,All the Light We Cannot See,Anthony Doerr,Two young people on opposite sides of World War II cross paths in a lyrical story of survival.,historical fiction|literary fiction|world war ii|coming of age|war,historical fiction,2014,531,12000,4.3,,50,eng,offline_fixture
fixture-021,/works/OL27527W,The Giver,Lois Lowry,A boy discovers memory pain and choice in a controlled society that has removed conflict.,young adult|dystopian|science fiction|coming of age|classic,young adult,1993,240,10000,4.1,,100,eng,offline_fixture
fixture-022,/works/OL19979094W,The Hunger Games,Suzanne Collins,A girl volunteers for a televised fight for survival in a dystopian society divided by districts.,young adult|dystopian|survival|science fiction|adventure,young adult,2008,374,20000,4.3,,80,eng,offline_fixture
fixture-023,/works/OL819712W,To Kill a Mockingbird,Harper Lee,A child observes justice prejudice and moral courage in a small Southern town.,classic|literary fiction|coming of age|justice|school,literary fiction,1960,336,17500,4.3,,120,eng,offline_fixture
fixture-024,/works/OL153141W,The Great Gatsby,F. Scott Fitzgerald,A tragic story of wealth reinvention longing and disillusionment during the Jazz Age.,classic|literary fiction|american literature|wealth|jazz age,literary fiction,1925,180,16000,3.9,,160,eng,offline_fixture
fixture-025,/works/OL46862W,Beloved,Toni Morrison,A haunting literary novel about memory trauma motherhood and the legacy of slavery.,literary fiction|historical fiction|classic|family|memory,literary fiction,1987,324,8000,4.0,,70,eng,offline_fixture
fixture-026,/works/OL861536W,Sapiens,Yuval Noah Harari,A broad nonfiction history of human development from early humans through agriculture science and modern society.,nonfiction|history|anthropology|science|society,nonfiction,2011,443,11000,4.4,,50,eng,offline_fixture
fixture-027,/works/OL20600W,The Diary of a Young Girl,Anne Frank,A young Jewish girl records daily life fear hope and reflection while hiding during World War II.,biography|memoir|world war ii|history|young adult,biography,1947,283,12500,4.2,,130,eng,offline_fixture
fixture-028,/works/OL18020154W,Educated,Tara Westover,A memoir about family survival education and the difficult process of forming an independent identity.,memoir|biography|education|family|nonfiction,biography,2018,334,10500,4.4,,40,eng,offline_fixture
fixture-029,/works/OL595875W,The Immortal Life of Henrietta Lacks,Rebecca Skloot,A nonfiction account of medical ethics race science and the woman behind an important cell line.,nonfiction|science|biography|medical ethics|history,nonfiction,2010,381,9000,4.1,,45,eng,offline_fixture
fixture-030,/works/OL168499W,The Martian,Andy Weir,A stranded astronaut uses engineering humor and problem solving to survive alone on Mars.,science fiction|survival|space|technology|adventure,science fiction,2011,369,14000,4.4,,40,eng,offline_fixture
